Counts: 	19779	19779	25	0	0	0	3	4779	903	1	4	0	0	12190	25	2	2	1	213	
Entry	Name	Organism	Cross-reference (PDB)	Cross-ref (DisProt)	Cross-ref (MobiDB)	Cross-ref (ModBase)	Cross-ref (PDBsum)	Cross-ref (ProteinModelPortal)	Cross-ref (SMR)	Cross-ref (BioGrid)	Cross-ref (DIP)	Cross-ref (MINT)	Cross-ref (IntAct)	Cross-ref (STRING)	3D	Beta strand	Helix	Turn	Subunit structure [CC]	Interacts with
Q17014	Q17014_ANOGA	Anopheles gambiae						Q17014;	Q17014;											
Q17016	Q17016_ANOGA	Anopheles gambiae												7165.AGAP002437-PA;						
Q17018	Q17018_ANOGA	Anopheles gambiae						Q17018;												
Q17013	Q17013_ANOGA	Anopheles gambiae												7165.AGAP000214-PA;						
Q93113	GST1D_ANOGA	Anopheles gambiae	1PN9;				1PN9;	Q93113;	Q93113;						X-ray crystallography (1)	STRAND 2 5 {ECO:0000244|PDB:1PN9}.; STRAND 27 30 {ECO:0000244|PDB:1PN9}.; STRAND 52 57 {ECO:0000244|PDB:1PN9}.; STRAND 60 64 {ECO:0000244|PDB:1PN9}.; STRAND 149 151 {ECO:0000244|PDB:1PN9}.	HELIX 10 21 {ECO:0000244|PDB:1PN9}.; HELIX 33 35 {ECO:0000244|PDB:1PN9}.; HELIX 37 39 {ECO:0000244|PDB:1PN9}.; HELIX 41 46 {ECO:0000244|PDB:1PN9}.; HELIX 65 76 {ECO:0000244|PDB:1PN9}.; HELIX 87 102 {ECO:0000244|PDB:1PN9}.; HELIX 104 118 {ECO:0000244|PDB:1PN9}.; HELIX 124 140 {ECO:0000244|PDB:1PN9}.; HELIX 154 169 {ECO:0000244|PDB:1PN9}.; HELIX 177 189 {ECO:0000244|PDB:1PN9}.; HELIX 193 207 {ECO:0000244|PDB:1PN9}.	TURN 141 143 {ECO:0000244|PDB:1PN9}.	SUBUNIT: Homodimer. {ECO:0000269|PubMed:14646079}.	
Q93112	GST1C_ANOGA	Anopheles gambiae						Q93112;	Q93112;										SUBUNIT: Homodimer. {ECO:0000250}.	
Q8WTE7	OR1_ANOGA	Anopheles gambiae												7165.AGAP009640-PA;						
Q8WTE6	OR2_ANOGA	Anopheles gambiae												7165.AGAP009519-PA;						
Q27442	H2B_ANOGA	Anopheles gambiae						Q27442;	Q27442;					7165.AGAP012894-PA;					SUBUNIT: The nucleosome is a histone octamer containing two molecules each of H2A, H2B, H3 and H4 assembled in one H3-H4 heterotetramer and two H2A-H2B heterodimers. The octamer wraps approximately 147 bp of DNA.	
Q17020	HEXA_ANOGA	Anopheles gambiae						Q17020;											SUBUNIT: Homohexamer. {ECO:0000305}.	
Q17005	LYSC1_ANOGA	Anopheles gambiae						Q17005;						7165.AGAP007347-PA;						
P35035	TRY1_ANOGA	Anopheles gambiae						P35035;						7165.AGAP008296-PA;						
P35036	TRY2_ANOGA	Anopheles gambiae						P35036;						7165.AGAP008295-PA;						
Q17025	CTR2_ANOGA	Anopheles gambiae						Q17025;												
Q27289	CTR1_ANOGA	Anopheles gambiae						Q27289;												
P34854	NU5M_ANOGA	Anopheles gambiae																		
Q7QC49	SNMP1_ANOGA	Anopheles gambiae												7165.AGAP002451-PA;						
P35037	TRY3_ANOGA	Anopheles gambiae						P35037;												
P35038	TRY4_ANOGA	Anopheles gambiae						P35038;												
P35039	TRY5_ANOGA	Anopheles gambiae						P35039;												
P35040	TRY6_ANOGA	Anopheles gambiae						P35040;												
P35041	TRY7_ANOGA	Anopheles gambiae						P35041;												
Q869C3	ACES_ANOGA	Anopheles gambiae	2AZG;				2AZG;							7165.AGAP001356-PA;	Model (1)					
O02491	HMEN_ANOGA	Anopheles gambiae						O02491;	O02491;					7165.AGAP008023-PA;						
Q566B3	PBURS_ANOGA	Anopheles gambiae												7165.AGAP004506-PA;					SUBUNIT: Heterodimer of burs and pburs. {ECO:0000250}.	
Q7QCC7	ORCO_ANOGA	Anopheles gambiae												7165.AGAP002560-PA;					SUBUNIT: Heterodimer with conventional odorant receptors (ORs). Complexes exist early in the endomembrane system in olfactory sensory neurons (OSNs), coupling these complexes to the conserved ciliary trafficking pathway.	
Q7QH73	PERC_ANOGA	Anopheles gambiae												7165.AGAP004038-PA;					SUBUNIT: Heterodimer. {ECO:0000250|UniProtKB:P05164, ECO:0000305}.	
Q7PYI7	CRY1_ANOGA	Anopheles gambiae												7165.AGAP001958-PA;					SUBUNIT: Interacts with tim and per; promoted by light conditions. {ECO:0000250|UniProtKB:O77059}.	
Q7PIR5	TRET1_ANOGA	Anopheles gambiae						Q7PIR5;						7165.AGAP005563-PA;						
Q7PPA5	ATC1_ANOGA	Anopheles gambiae						Q7PPA5;	Q7PPA5;					7165.AGAP006186-PC;						
Q5TWR9	DEF3_ANOGA	Anopheles gambiae																		
O76483	GSTT7_ANOGA	Anopheles gambiae						O76483;	O76483;					7165.AGAP004163-PB;					SUBUNIT: Homodimer. {ECO:0000250|UniProtKB:P30711}.	
Q93118	A16_ANOGA	Anopheles gambiae						Q93118;												
O02350	CBPA1_ANOGA	Anopheles gambiae						O02350;						7165.AGAP009593-PA;						
Q8MUF4	CECB_ANOGA	Anopheles gambiae																		
Q17015	CU01_ANOGA	Anopheles gambiae																		
Q94999	GSTT2_ANOGA	Anopheles gambiae						Q94999;						7165.AGAP004165-PA;					SUBUNIT: Homodimer. {ECO:0000250}.	
P46428	GST_ANOGA	Anopheles gambiae						P46428;	P46428;										SUBUNIT: Homodimer. {ECO:0000250}.	
A0NBD9	OBP66_ANOGA	Anopheles gambiae																		
Q5TXN1	OBP67_ANOGA	Anopheles gambiae																		
Q7Q5L4	OBP70_ANOGA	Anopheles gambiae												7165.AGAP006368-PA;						
A7UR17	OBP72_ANOGA	Anopheles gambiae						A7UR17;						7165.AGAP012714-PA;						
P33514	RS7_ANOGA	Anopheles gambiae												7165.AGAP010592-PA;						
Q7Q6R1	SNMP2_ANOGA	Anopheles gambiae																		
Q17004	SP24D_ANOGA	Anopheles gambiae						Q17004;						7165.AGAP006416-PA;						
P42678	SUI1_ANOGA	Anopheles gambiae						P42678;	P42678;					7165.AGAP006459-PA;						
O77457	T23O_ANOGA	Anopheles gambiae						O77457;						7165.AGAP002721-PA;					SUBUNIT: Homotetramer. {ECO:0000255|HAMAP-Rule:MF_03020}.	
Q27256	WHITE_ANOGA	Anopheles gambiae						Q27256;						7165.AGAP000553-PA;						
O76217	PE1_ANOGA	Anopheles gambiae												7165.AGAP006795-PA;						
